uid,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,cd,council,ct2010,ct2020,nta2010,nta2020,facgroup,facsubgrp,factype,capacity,captype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,facdomain,schooldist,policeprct,servarea,geometry
00244f20c6440405c004191194c352e8,M.S. 935,76,DINSMORE PLACE,76 DINSMORE PLACE,BROOKLYN,BROOKLYN,3,11208,40.68102045,-73.87609007,1018617.617,187414.8403,3424693,3041420032,305,37,117800,117800,BK83,BK0501,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,180,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",19,75,Local,POINT(1018617.6173334122 187414.84031534195)
0051736ceb1f8eb71640cb2b218193ff,HIGH SCHOOL OF APPLIED COMMUNICATION,30-20,THOMSON AVENUE,30-20 THOMSON AVENUE,LONG ISLAND CITY,QUEENS,4,11101,40.74456635,-73.93692053,1001729.033,210548.5287,4003517,4002740001,402,26,17900,17902,QN31,QN0202,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,347,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",24,108,Local,POINT(1001729.032705307 210548.5286769867)
00576134099631530e6310f3ed6f8b3e,NYSARC - AHRC MIDDLE/HIGH SCHOOL,1201,66 STREET,1201 66 STREET,BROOKLYN,BROOKLYN,3,11219,40.62684368,-74.00386474,983177.2065,167652.4573,3256761,3057530001,310,43,19400,19400,BK30,BK1002,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,0,,Non-public,"Nysarc, Inc - Nyc Chapter",Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",20,68,Local,POINT(983177.2064723969 167652.45728254318)
007ebf08f04e6f4cc75a8fac271157aa,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",821,BAY 25 STREET,821 BAY 25 STREET,FAR ROCKAWAY,QUEENS,4,11691,40.60175562,-73.76358499,1049899.87,158600.7878,4300730,4157360001,414,31,100802,100804,QN15,QN1401,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,391,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",27,101,Local,POINT(1049899.8704295158 158600.7877573967)
00c16cfccca976aef8490c8d9ce97feb,I.S. 254,2452,WASHINGTON AVENUE,2452 WASHINGTON AVENUE,BRONX,BRONX,2,10458,40.85885258,-73.88987898,1014711.683,252199.868,2103863,2030580003,206,15,38700,38700,BX06,BX0603,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,473,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",10,48,Local,POINT(1014711.682926178 252199.8679909706)
0111d013c04bf03636b6137535cb5872,BROOKLYN BRIDGE ACADEMY,6565,FLATLANDS AVENUE,6565 FLATLANDS AVENUE,BROOKLYN,BROOKLYN,3,11236,40.63371654,-73.91762131,1007114.737,170167.1535,3224139,3079980005,318,46,95000,95000,BK50,BK1803,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,328,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",18,69,Local,POINT(1007114.7374958992 170167.15353870392)
017f34d2dd8eedce666058c0bade9fc1,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,778,FOREST AVENUE,778 FOREST AVENUE,BRONX,BRONX,2,10456,40.81886928,-73.90533167,1010452.903,237627.4726,2004690,2026550030,201,17,7700,7700,BX34,BX0102,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,382,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",7,40,Local,POINT(1010452.9030432701 237627.4726138115)
0201d0d29d7b57ee636f6b36eda7dc90,QUEENS METROPOLITAN HIGH SCHOOL,91-30,METROPOLITAN AVENUE,91-30 METROPOLITAN AVENUE,FOREST HILLS,QUEENS,4,11375,40.70852488,-73.85580194,1024228.227,197444.1125,4447233,4038860800,406,29,64500,64500,QN17,QN0602,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,932,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",28,112,Local,POINT(1024228.226934433 197444.11253261566)
020e40cf34dd6217d657313bd6d096d8,J.H.S. 217 ROBERT A. VAN WYCK,85-05,144 STREET,85-05 144 STREET,JAMAICA,QUEENS,4,11435,40.71041127,-73.81182094,1036420.258,198154.513,4208124,4097240173,408,24,23200,23200,QN35,QN0805,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,1425,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",28,107,Local,POINT(1036420.2582373619 198154.51305103302)
0272be68ee42cdee979c9b68ce069ae3,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,443,WEST 135 STREET,443 WEST 135 STREET,NEW YORK,MANHATTAN,1,10031,40.8183816,-73.94990444,998115.8733,237439.5975,1059409,1019570078,109,9,21703,21703,MN06,MN0902,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,1478,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",6,26,Local,POINT(998115.8732743263 237439.59754180908)
02feab44d208890523956a5fa3aeaabb,FORDHAM PREPARATORY SCHOOL,441,EAST FORDHAM ROAD,441 EAST FORDHAM ROAD,BRONX,BRONX,2,10458,40.86125664,-73.88739316,1015398.183,253076.634,2102025,2032730001,206,15,39700,39700,BX06,BX0603,SCHOOLS (K-12),NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,0,,Non-public,Fordham Preparatory School,Non-public,City,NYC Department of Education,NYCDOE,nysed_activeinstitutions,"EDUCATION, CHILD WELFARE, AND YOUTH",10,48,Local,POINT(1015398.1834802628 253076.6339855194)
0329b4bc738437692d38b2e50d50fd4f,MOTT HAVEN COMMUNITY HIGH SCHOOL,455,SOUTHERN BOULEVARD,455 SOUTHERN BOULEVARD,BRONX,BRONX,2,10455,40.8105105,-73.90759709,1009829.078,234581.4027,2003883,2025760026,201,8,3500,3500,BX39,BX0101,SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,368,seats,Public,NYC Department of Education,NYCDOE,City,NYC Department of Education,NYCDOE,doe_lcgms,"EDUCATION, CHILD WELFARE, AND YOUTH",7,40,Local,POINT(1009829.0784254074 234581.4026722908)
